Name,Category,Latitude,Longitude,Victims
Te Uku.,Area Unit,-37.876016493,174.878388944,104
Te Teko.,Area Unit,-38.031772266,176.802448012,35
Te Rore.,Area Unit,-37.955524883,175.214336370,10
Te Reti.,Area Unit,-37.703808311,176.132109396,35
Te Rerenga.,Area Unit,-36.729546971,175.607501378,211
Te Rapa.,Area Unit,-37.750087993,175.238594217,1250
Te Rapa North.,Area Unit,-37.717944439,175.215268478,91
Te Rahu.,Area Unit,-37.977844093,175.335477250,21
Te Puru-Thornton Bay.,Area Unit,-37.074277044,175.531257104,23
Te Puna.,Area Unit,-37.665713114,176.059865085,111
Te Puke West.,Area Unit,-37.794862638,176.308138593,108
Te Puke East.,Area Unit,-37.796444228,176.332791700,500
Te Poi.,Area Unit,-37.871142690,175.824352126,25
Te Papapa.,Area Unit,-36.924057602,174.802211959,299
Te Pahu.,Area Unit,-37.918110923,175.160646269,14
Te Maunga.,Area Unit,-37.686036700,176.230693482,167
Te Mata.,Area Unit,-39.663663178,176.886607677,111
Te Mata Hills.,Area Unit,-39.685973734,176.905936803,10
Te Marua.,Area Unit,-41.092566353,175.134934643,30
Te Kuiti.,Area Unit,-38.336955253,175.167097275,303
Te Kowhai.,Area Unit,-37.730288699,175.137856524,41
Te Kopuru.,Area Unit,-36.030532488,173.922257296,12
Te Kawa.,Area Unit,-38.101108348,175.201665419,8
Te Kauwhata.,Area Unit,-37.403973868,175.137399034,107
Te Karaka.,Area Unit,-38.464879377,177.868066844,5
Te Kainga.,Area Unit,-41.251184398,174.793100913,84
Te Kaha.,Area Unit,-37.743470898,177.682739240,19
Te Horo.,Area Unit,-40.785367812,175.097490514,26
Te Hihi.,Area Unit,-35.747281496,174.260724699,16
Te Hapara.,Area Unit,-38.650524713,177.998773944,253
Te Awamutu West.,Area Unit,-38.004419014,175.306955465,23
Te Awamutu South.,Area Unit,-38.013574737,175.330144310,298
Te Awamutu East.,Area Unit,-38.002249378,175.326742814,173
Te Awamutu Central.,Area Unit,-38.005892297,175.318265525,189
Te Atatu Central.,Area Unit,-36.847089912,174.647811897,339
Te Aroha.,Area Unit,-37.542689368,175.703403787,224
Te Anau.,Area Unit,-45.410515180,167.713947182,48
Te Akau.,Area Unit,-37.644417741,174.944294153,33
Tawhiti.,Area Unit,-39.580531800,174.324027038,10
Tawhero.,Area Unit,-39.934793658,175.014173604,46
Tawhai.,Area Unit,-41.162619025,174.989232630,86
Tawa South.,Area Unit,-41.178907479,174.822907645,122
Tawa Central.,Area Unit,-41.170319079,174.820188483,146
Tauranga South.,Area Unit,-37.711142727,176.161353560,482
Tauranga Hospital.,Area Unit,-37.702315098,176.146020252,164
Tauranga City-Marinas.,Area Unit,,,9
Tauranga Central.,Area Unit,-37.687185790,176.166427828,817
Taupo East.,Area Unit,-38.695600572,176.118862772,8
Taupo Central.,Area Unit,-38.685436919,176.074138350,779
Taupiri Community.,Area Unit,-37.614860477,175.189229186,28
Taupaki.,Area Unit,-36.810787619,174.585014101,24
